,Unnamed: 0,Unnamed: 0.1,Artist,Genres,Followers,Popularity,Songs,Length
2612,6358,6358,Moti,"['alternative metal', 'metalcore']",60986881,96,"['positions', '34+35', '7 rings', 'Stuck with U (with Justin Bieber)', 'thank u, next', 'Rain On Me (with Ariana Grande)', 'pov', '34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix', 'motive (with Doja Cat)', 'God is a woman']",10
2613,6360,6360,Moto,"['album rock', 'hard rock', 'metal', 'rock', 'speed metal']",11337567,82,"['Pure Water (with Migos)', 'Walk It Talk It', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Need It', 'MotorSport', 'I Get the Bag (feat. Migos)', 'Stir Fry', 'Slippery (feat. Gucci Mane)', 'Narcos', 'My Family - from ""The Addams Family""']",10
2617,6367,6367,Mountain,"['alternative rock', 'anti-folk', 'canadian indie', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'new weird america', 'stomp and holler']",3139507,73,"['Little Talks', 'Dirty Paws', 'Mountain Sound', 'Crystals', 'Alligator', 'King And Lionheart', 'Destroyer', 'Visitor', 'Love Love Love', 'Circles']",10
2618,6369,6369,Moura Lympany,['british classical piano'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
2619,6375,6375,Mozarteum Orchestra Salzburg,"['austrian orchestra', 'orchestra']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
2620,6377,6377,Mr Day,['retro soul'],1861098,76,"['If It Means A Lot To You', 'The Downfall Of Us All', 'Last Chance To Dance (Bad Friend)', 'All I Want', 'Resentment', 'Everything We Need', 'All Signs Point To Lauderdale', 'Paranoia', 'Mindreader', ""I'm Made Of Wax, Larry, What Are You Made Of?""]",9
2622,6380,6380,Mr. Collipark,['atl hip hop'],249159,60,"['Ms. New Booty', 'Deliverance', 'Outback (Extended Remix)', 'Country Folks (feat. Colt Ford & Danny Boone)', 'Put in Work', 'Country to the City (feat. Jg Made Um Look)', 'Ugly', 'Heat It Up', 'Ms. New Booty', 'Way Down South (feat. Kyle Cook, Danny Boone, and Demun Jones)']",10
2625,6385,6385,Mr. V,"['azonto', 'dancehall', 'panamanian pop', 'reggae fusion', 'soca']",108120,60,"['Mr. Vain - Original Radio Edit', 'Mr. Vain', 'Mr. Vain Recall - Radio Edit', 'Got to Get It', 'Inside Out', 'Mr. Vain - Vain Mix', 'Crying in the Rain', 'Anything', 'Take Me Away', 'Mr. Vain - Decent Mix']",10
2627,6388,6388,Ms. Lauryn Hill,"['conscious hip hop', 'dance pop', 'hip pop', 'neo soul', 'new jersey rap', 'r&b', 'urban contemporary']",917905,70,"['Killing Me Softly With His Song', 'Ready or Not', 'Fu-Gee-La', 'No Woman, No Cry', 'Nappy Heads - Remix', 'Zealots', 'How Many Mics', 'The Score (feat. Diamond D)', 'Vocab - Refugees Hip Hop Remix', 'Family Business (feat. John Forté)']",10
2628,6390,6390,Mstislav Rostropovich,"['classical', 'classical cello', 'classical performance']",405669,63,"['Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse', '8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin, Cello & Orchestra)', '2 Pieces, Op. posth., B. 188: No. 1. Lullaby in G Major', 'Serenade for Strings in E, Op.22: 4. Larghetto', 'Slavonic Dance for Four Hands in E Minor, Op. 72/2: Dumka (Allegretto grazioso)', 'Symphony No.9 in E Minor, Op.95, B. 178 ""From The New World"": 4. Allegro con fuoco', 'Humoresque, Op. 101, No. 7', 'Cello Concerto In B Minor, Op.104, B. 191: 1. Allegro', 'Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live', 'String Quartet No. 5 in F Minor, Op. 9, B. 37: II. Andante con moto quasi allegretto']",10
2632,6402,6402,Munich Philharmonic Orchestra,"['classical performance', 'german orchestra', 'orchestra']",457916,61,"['Cello Concerto No. 1 in C Major, Hob. VIIb:1: II. Adagio', 'Haydn: String Quartet in C Major, Op. 76 No. 3, Hob. III:77 ""Emperor"": I. Allegro', 'String Quartet No. 62 in C Major, Op. 76, No. 3, Hob.III:77, ""Emperor"": II. Poco adagio, cantabile', 'Haydn: String Quartet in F Major, Op. 77 No. 2, Hob. III:82: II. Minuet. Presto - Trio', 'Cello Concerto No. 1 in C Major, Hob.VIIb:1: III. Allegro molto', 'Symphony No. 104 in D Major, Hob.I:104 ""London"": 4. Finale (Spiritoso) - Live', 'Piano Sonata (Partita) No. 13 in G Major, Hob. XVI:6: III. Adagio', 'Haydn: Twelve Little Divertimenti: Menuet: Un poco allegretto', 'Adagio in F, H.XVII No.9', 'Piano Sonata in E-Flat Major, Hob.XVI: 52: III. Finale: Presto']",10
