,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,songs,followers,Popularity Score,Artist ID,Image URL
12153,12153,Nils Hoffmann,0.0314,0.828,499625.0,0.7959999999999999,0.8959999999999999,0.1159999999999999,-11.041,0.0505,122.014,0.105,20.0,11,0,1,['deep minimal techno'],"['Moments - Ben Böhmer & Nils Hoffmann Remix', 'Breathing', 'Once in a Blue Moon - Extended Mix', 'Second Sun', 'Otherside - Nils Hoffmann Remix', 'Never Enough - Nils Hoffmann Remix', 'Second Sun - Monkey Safari Remix', 'Breathing - Boris Brejcha Remix', 'If - Nils Hoffmann Remix', 'Breathing - Extended Mix']",19907,60,6sOEMfvCfHQ9dhSWyamXVb,https://i.scdn.co/image/ab6761610000e5eb43d999edb34b2e3de32750e5
4741,4741,Dustin Lynch,0.0977274999999999,0.531875,203096.75,0.7525000000000001,4e-06,0.2719875,-4.9590000000000005,0.037,114.38075,0.5670000000000003,61.875,9,1,16,"['contemporary country', 'country', 'country road', 'modern country rock']","['Momma’s House', 'Small Town Boy', 'Ridin’ Roads', 'Good Girl', ""Where It's At"", ""Thinking 'Bout You (feat. Lauren Alaina)"", ""I'd Be Jealous Too"", 'Cowboys and Angels', ""Thinking 'Bout You (feat. MacKenzie Porter)"", 'Mind Reader']",1580428,71,1dID9zgn0OV0Y8ud7Mh2tS,https://i.scdn.co/image/d7fb13fcd4248b66ea94758d32fef68b8f06f973
17280,17280,Thunderstorm Sound Bank,0.0013853333333333,0.158,171169.66666666663,0.3993333333333333,0.8373333333333334,0.446,-24.320666666666664,0.0649666666666666,97.088,0.0311333333333333,66.33333333333333,1,1,6,"['environmental', 'water']","['Monsun Thunderstorm', 'Rain & Thunder', 'Thunderstorm By The Waterfall', 'Rain and Thunder Sounds', 'Stress Relief Thunder', 'Chill Rain Storms Sounds', 'Stunning Rain & Storms Sounds', 'Thunder and Lightning', 'Thunder Storm Sounds', 'Thunderstorm Noise Loopable']",9405,63,6xQDyC92UEZQCySBNTdkyx,https://i.scdn.co/image/bd6bfd51fbb0c9b3fcd2ed6eccf0fc2fd95ec0a1
18806,18806,iann dior,0.1578263636363636,0.7126818181818181,153083.86363636365,0.6204545454545454,4.409090909090909e-07,0.1766454545454545,-5.777545454545455,0.052690909090909,104.32490909090907,0.5248636363636362,75.54545454545455,7,1,22,"['melodic rap', 'pop rap']","['Mood (feat. iann dior)', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'emotions', 'Higher (feat. iann dior)', 'gone girl', 'First Time', 'Sick and Tired (ft. Machine Gun Kelly and Travis Barker)', 'Holding On', 'Pretty Girls', 'Prospect (ft. Lil Baby)']",1102715,87,6ASri4ePR7RlsvIQgWPJpS,https://i.scdn.co/image/ab6761610000e5ebe2261bc05244602092201433
7244,7244,IA,0.521,0.705,300000.0,0.412,0.0,0.128,-6.402,0.0361,120.005,0.272,1.0,4,0,4,"['melodic rap', 'pop rap']","['Mood (feat. iann dior)', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'emotions', 'Higher (feat. iann dior)', 'gone girl', 'First Time', 'Sick and Tired (ft. Machine Gun Kelly and Travis Barker)', 'Holding On', 'Pretty Girls', 'Prospect (ft. Lil Baby)']",1102715,87,6ASri4ePR7RlsvIQgWPJpS,https://i.scdn.co/image/ab6761610000e5ebe2261bc05244602092201433
2187,2187,Boombox Cartel,0.0312,0.5710000000000001,264049.0,0.722,0.00488,0.413,-11.303,0.0729,145.69799999999995,0.349,14.0,5,0,1,"['bass trap', 'edm', 'electro house', 'electronic trap', 'vapor twitch']","['Moon Love', 'NEW WIP', 'How to Love (feat. Sofia Reyes) - Boombox Cartel Remix', 'Whisper', 'Drip', 'People I Know', 'ID', 'NEW WIP - Chris Lorenzo Remix', 'Supernatural (feat. Anjulie)', 'B2U (feat. Ian Everson']",181390,56,4m1yRHUMhvB8gKAJTjK4kO,https://i.scdn.co/image/ab6761610000e5eb724f06df87e98fb7c736263e
10592,10592,Mancini,0.185,0.711,306786.0,0.578,0.00547,0.0881,-6.442,0.1889999999999999,125.99,0.6659999999999999,0.0,6,1,2,"['adult standards', 'classic soundtrack', 'easy listening', 'lounge', 'vocal jazz']","['Moon River(Vocal Audrey Hepburn)', 'Moon River(Original Main Title)', 'Pink Panther Theme', 'Lujon', 'Moon River', 'Baby Elephant Walk', 'The Pink Panther Theme - From the Mirisch-G & E Production ""The Pink Panther""', 'Peter Gunn', 'Champagne And Quail', 'Volare']",120191,61,2EExdpjU4SK3xnJHO5paJf,https://i.scdn.co/image/a069170b69610de7b669fc2b48cdfb5e7348acee
6983,6983,Henry Mancini,0.7759230215827336,0.4733366906474821,167536.71223021587,0.3656402877697841,0.5097837842446045,0.1391136690647481,-13.639741007194248,0.0372053956834532,113.24574820143884,0.4643661870503596,19.68705035971223,0,1,278,"['adult standards', 'classic soundtrack', 'easy listening', 'lounge', 'vocal jazz']","['Moon River(Vocal Audrey Hepburn)', 'Moon River(Original Main Title)', 'Pink Panther Theme', 'Lujon', 'Moon River', 'Baby Elephant Walk', 'The Pink Panther Theme - From the Mirisch-G & E Production ""The Pink Panther""', 'Peter Gunn', 'Champagne And Quail', 'Volare']",120191,61,2EExdpjU4SK3xnJHO5paJf,https://i.scdn.co/image/a069170b69610de7b669fc2b48cdfb5e7348acee
2024,2024,Blue,0.06515,0.7215,200213.5,0.6425,2.1e-05,0.2204,-5.5070000000000014,0.0319,97.0175,0.6065,61.5,8,0,4,"['cali rap', 'trap']","['Moonwalking in Calabasas (feat. Blueface) - Remix', 'Thotiana', 'Daddy (feat. Rich The Kid)', 'Disrespectful', 'Bleed It', 'Holy Moly (feat. NLE Choppa)', 'Thotiana (Remix)', 'Baby', 'Bussdown (feat. Offset)', 'Curvy']",3697236,77,3Fl1V19tmjt57oBdxXKAjJ,https://i.scdn.co/image/6924d354dc0667e20868cc9d10c3117249fa6373
2041,2041,Blueface,0.0729,0.9055,163190.25,0.4362500000000001,0.0,0.1387499999999999,-8.1555,0.30325,118.537,0.56775,73.25,2,1,8,"['cali rap', 'trap']","['Moonwalking in Calabasas (feat. Blueface) - Remix', 'Thotiana', 'Daddy (feat. Rich The Kid)', 'Disrespectful', 'Bleed It', 'Holy Moly (feat. NLE Choppa)', 'Thotiana (Remix)', 'Baby', 'Bussdown (feat. Offset)', 'Curvy']",3697236,77,3Fl1V19tmjt57oBdxXKAjJ,https://i.scdn.co/image/6924d354dc0667e20868cc9d10c3117249fa6373
1336,1336,Axwell /\ Ingrosso,0.0275,0.6459999999999999,203000.0,0.741,0.0,0.312,-4.973,0.034,123.077,0.5710000000000001,79.0,5,0,2,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']","['More Than You Know', 'Sun Is Shining', 'Dreamer', 'Something New', 'Dreamer - Matisse & Sadko Remix', 'I Love You', 'Dancing Alone', 'On My Way', 'Renegade', 'How Do You Feel Right Now']",2281683,71,2XnBwblw31dfGnspMIwgWz,https://i.scdn.co/image/0667dbd3c29deb0e555dcd76c7d94ae4b9a69dcf
