,artists,genres,followers,Artist ID,Popularity Score,Image URL
117,Alesso,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",3600013,4AVFqumd2ogHFlRbKIjp1t,79,https://i.scdn.co/image/b61ced61e5c02c0314298678ce82d097e9ef0100
118,Alestorm,"['british power metal', 'comic', 'comic metal', 'metal', 'pirate', 'power metal', 'scottish metal']",456950,3OpqU68JpZlzvjAJj3B2Da,63,https://i.scdn.co/image/1c6cc2407c94016b9a6353541d280595d27b5c0b
119,Alex & Sierra,"['indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",1010052,58MLl9nC29IXbE4nEtuoP2,67,https://i.scdn.co/image/6229cdad0dcf94a6c9b2041adabd44e0b993a299
120,Alex Campos,"['latin christian', 'latin worship', 'mariachi cristiano', 'reggaeton cristiano']",958481,6slyJwua5e5GuhuP82sTHR,66,https://i.scdn.co/image/ab6761610000e5eb7d1348eb726efcb77b2b348c
121,Alex Clare,['modern alternative rock'],639247,5Tf4EH8tDvznnjULcFxkIl,60,https://i.scdn.co/image/67deb24c0f234e88188488fa2698faed02cd2f98
122,Alex G,"['alternative rock', 'art pop', 'freak folk', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'lo-fi indie', 'philly indie']",172481,6lcwlkAjBPSKnFBZjjZFJs,61,https://i.scdn.co/image/82e1658be6688ee69d8d1c2bb9be33670e5e1a6d
123,Alex Gaudino,"['disco house', 'edm', 'electro house', 'vocal house']",94935,7vb7VLDqpLTlAy1ctTMR5d,61,https://i.scdn.co/image/767b508c4c6be13ee37d52a06e921c3d2f087965
124,Alex Rose,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",1934486,2DspEsT7UXGKd2VaaedgG4,78,https://i.scdn.co/image/53abe8b8efef5be63e2c91e3947646bb2b4bbc9c
125,Alex Ubago,"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",1438273,2tY2GFdhH0Wa2VBvsxew5X,66,https://i.scdn.co/image/db7b7dc09422d913dd8fdab3d21619a735724626
126,Alexander 23,"['indie cafe pop', 'indie pop', 'pop', 'social media pop']",169219,6sFHvCyqklnJpXC9Nh1aag,73,https://i.scdn.co/image/d6ebe44d5e2e9fee188a87afecf50e31ba72033e
127,Alexander Acha,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",402899,3JkgQ8Jjwt2mkeOsg5yhqh,60,https://i.scdn.co/image/13831ff964c80fde798c2ac2f4a20a24b84173d5
128,Alexander Rybak,['eurovision'],114277,3LLNDXrxL4uxXtnUJS5XWM,60,https://i.scdn.co/image/7b29f27bbd4b0baef764ac7ecdff95d026564354
