,Artist,Genres,Followers,Popularity
323,After The Fire,['new wave'],499206,70
325,Against Me!,"['folk punk', 'gainesville indie', 'orgcore', 'punk', 'skate punk']",3672420,81
326,Against The Current,"['neon pop punk', 'pixie', 'pop punk', 'viral pop']",990505,81
327,Against The Grain,['action rock'],2694652,84
328,Agent Orange,"['hardcore punk', 'punk', 'skate punk', 'surf punk']",280850,51
332,Agnes Baltsa,"['classical mezzo-soprano', 'classical performance', 'opera']",176242,59
333,Agnes Giebel,['classical soprano'],3140359,81
335,Agnes Obel,['chamber pop'],641672,65
338,Ago,"['electronica', 'microhouse', 'minimal techno', 'new french touch', 'organic house', 'tech house']",1563758,79
341,Agust D,['k-rap'],4431391,72
344,Agustín Lara,"['bolero', 'bolero mexicano']",172048,53
346,Ahmad Jamal,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']",97332,51
351,Ahmet Kaya,['turkish folk'],3324230,68
352,Ai Nam,['thai folk rock'],6655473,86
353,Aida Cuevas,"['bolero', 'mariachi', 'ranchera']",1312,51
354,Aidan O'Rourke,"['scottish fiddle', 'scottish folk']",1749719,74
355,Aiko,"['alternative r&b', 'dance pop', 'pop', 'r&b', 'urban contemporary']",80161,69
356,Aim,"['chillhop', 'lo-fi beats']",5019320,93
357,Aimee Mann,"['folk', 'lilith', 'new wave pop', 'permanent wave', 'pop rock']",174960,54
358,Aimee',"['folk', 'lilith', 'new wave pop', 'permanent wave', 'pop rock']",174960,54
359,Aimoon,"['progressive trance', 'progressive uplifting trance', 'russian trance', 'uplifting trance']",76623,51
361,Air,"['pop punk', 'pop rock', 'socal pop punk']",1843555,78
362,Air Supply,"['adult standards', 'mellow gold', 'soft rock']",2364255,72
365,Airborn,"['indie pop', 'indie rock', 'la indie', 'metropopolis', 'modern alternative rock', 'modern rock', 'stomp and holler']",183,51
366,Airbourne,"['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']",3462,51
367,Airplay,"['deep soft rock', 'yacht rock']",1843555,78
368,Airwave,"['pop punk', 'pop rock', 'socal pop punk']",844792,69
371,Ajda Pekkan,"['turkish jazz', 'turkish pop', 'turkish psych']",407534,61
373,AkaPella,"['trap venezolano', 'venezuelan hip hop']",339233,65
374,Akademie für Alte Musik Berlin,"['barockinterpreten', 'baroque ensemble', 'choral', 'classical performance', 'historically informed performance']",622116,68
375,Akala,"['conscious hip hop', 'grime', 'political hip hop']",619181,53
376,Akano,['otacore'],54082,68
378,Akin,"['country', 'country road', 'country rock', 'modern country rock']",357128,68
379,Akina Nakamori,"['j-pop', 'japanese new wave', 'kayokyoku', 'techno kayo']",206817,53
383,Akon,['dance pop'],41491,70
385,Aku,['australian alternative pop'],55474,51
386,Akwid,"['chicano rap', 'latin hip hop', 'mexican hip hop']",722044,62
389,Al Bano,['classic italian pop'],63355,54
395,Al Green,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",1445651,70
399,Al Hug,"['post-romantic era', 'swedish classical']",551841,74
402,Al Jarreau,"['adult standards', 'jazz funk', 'quiet storm', 'smooth jazz', 'soft rock', 'vocal jazz', 'yacht rock']",270826,59
403,Al Johnson,['background music'],13679181,92
405,Al Kooper,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'psychedelic rock', 'rock keyboard']",3331539,76
406,Al Martino,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",77789,52
407,Al Stewart,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']",175762,56
410,Alaa,['arab alternative'],1601849,90
411,Alabama,"['country', 'country road', 'country rock']",152974,56
412,Alabama Shakes,"['alabama indie', 'indie rock', 'modern blues rock', 'rock']",1437842,65
414,Alacranes Musical,"['corrido', 'duranguense', 'regional mexican']",461029,63
416,Alain Bashung,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']",195756,56
418,Alain Planes,"['classical piano', 'french classical piano']",1122563,72
419,Alain Souchon,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']",199389,57
423,Alan Gilbert,"['classical performance', 'orchestral performance']",1759512,72
426,Alan Jackson,"['contemporary country', 'country', 'country road']",1510277,76
428,Alan Menken,"['broadway', 'disney', 'hollywood', 'movie tunes', 'show tunes']",85943,64
433,Alan Parsons,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']",230257,56
434,Alan Silvestri,['soundtrack'],221745,66
436,Alan Tam,"['c-pop', 'cantopop', 'classic cantopop']",175218,54
438,Alan Walker,['electro house'],27934339,85
440,Alanis Morissette,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']",1878047,71
441,Alannah Myles,"['classic canadian rock', 'new wave pop']",70381,59
442,Alas,"['compositional ambient', 'focus']",741957,71
444,Alaska Y Dinarama,"['spanish new wave', 'spanish pop', 'spanish synthpop']",161885,58
446,Alaíde Costa,"['bossa nova', 'velha guarda']",540075,63
447,Alban Berg,"['classical', 'classical performance', 'streichquartett', 'string quartet']",4008949,79
448,Alban Berg Quartett,"['classical', 'classical performance', 'streichquartett', 'string quartet']",4008949,79
449,Albert,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']",715322,65
453,Albert Hammond,"['dance-punk', 'garage rock', 'indie rock', 'modern rock', 'punk blues', 'rock']",79849,57
454,Albert King,"['blues', 'blues rock', 'classic rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues']",324923,55
461,Alberto Cortez,"['bolero', 'cantautor', 'nueva cancion', 'pop romantico', 'ranchera', 'trova']",207813,52
462,Alberto Erede,['opera'],239380,55
466,Alberto Martini,['italian violin'],1749719,74
468,Alberto Pedraza,"['cumbia', 'cumbia sonidera']",113615,57
470,Alberto Vazquez,"['bolero', 'mexican rock-and-roll', 'pop romantico', 'ranchera']",5045296,79
471,Alberto Y Roberto,['grupera'],19064,57
472,Albion,['dunedin indie'],3004,69
473,Alborosie,"['modern reggae', 'reggae', 'roots reggae']",9896187,88
475,Alceu Valença,"['manguebeat', 'mpb', 'nova musica pernambucana']",864564,66
476,Alda Noni,"['classical soprano', 'italian soprano', 'vintage schlager']",3140359,81
478,Aldo Campoamor,['vintage tango'],230210,57
480,Aldo Donà,['vintage italian pop'],4008949,79
483,Aldo Protti,"['classical baritone', 'italian baritone']",464965,63
484,Aldo Trujillo,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",491092,68
486,Alec Benjamin,"['electropop', 'pop']",2572918,80
488,Aled Jones,['operatic pop'],132761,54
489,Alegre All Stars,"['latin jazz', 'salsa international']",268035,53
490,Alejandra Guzman,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'ranchera', 'rock en espanol']",2272407,71
