,Artist,Genres,Followers,Popularity
254,Adalberto Santiago,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']",74726,49
255,Adam & The Ants,"['dance rock', 'double drumming', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska']",214306,48
256,Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']",183753,47
257,Adam Calhoun,"['country rap', 'military rap', 'redneck']",240854,65
258,Adam Doleac,"['contemporary country', 'country pop']",26649,61
259,Adam Ellis,"['progressive uplifting trance', 'uplifting trance']",4443,29
260,Adam Foley,['progressive uplifting trance'],109,2
261,Adam Gussow,['harmonica blues'],1372,23
262,Adam Hicks,"['pop', 'post-teen pop']",39059,57
263,Adam Jensen,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']",109722,61
264,Adam Johnson,['british classical piano'],776,31
265,Adam K,['canadian electronic'],1481789,78
266,Adam K & Soha,['canadian electronic'],828321,72
267,Adam Lambert,"['dance pop', 'electropop', 'idol', 'pop', 'post-teen pop']",1185426,67
268,Adam Levine,['pop rock'],1222923,78
269,Adam Mansell,['polish techno'],14,0
270,Adam Nickey,"['progressive house', 'trance', 'uplifting trance']",5696,23
271,Adam Pascal,"['broadway', 'hollywood', 'show tunes']",14376,55
272,Adam Port,['deep disco house'],49273,54
273,Adam Sandler,"['comedy', 'comic']",5815225,82
274,Adam Szabo,['progressive uplifting trance'],1824,21
275,Adamski,"['acid house', 'hardcore techno', 'hip house']",12217,44
276,Adan Chalino Sanchez,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']",353539,52
277,Adan Romero,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']",425370,57
278,Adara,['indie electropop'],113671,58
279,Adelaide Van Wey,['american folk revival'],17,0
280,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",26675137,85
281,Adelitas Way,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']",268676,60
282,Adema,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",135776,75
283,Adiemus,['new age'],46331,61
284,Adina Butar,['vocal trance'],59821,49
285,Adina Howard,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",259168,51
286,Adolescent's Orquesta,"['latin', 'salsa', 'salsa venezolana', 'tropical']",353450,68
287,Adolescents,"['latin', 'salsa', 'salsa venezolana', 'tropical']",2534724,72
288,Adolf Dallapozza,['classical tenor'],474272,58
289,Adolfo Berón,['guitarra argentina'],179,11
290,Adolph Deutsch,['classic soundtrack'],416,22
291,Adolphe Adam,"['early romantic era', 'french opera', 'french romanticism']",4199,43
292,Adrenalize,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']",977345,67
293,Adrian Gurvitz,['yacht rock'],4302,40
294,Adrian Marcel,['pop r&b'],157460,48
295,Adriana Caselotti,['movie tunes'],6534,43
296,Adriana Lazzarini,['italian mezzo-soprano'],613762,67
297,Adriana Proenza,['spanish indie pop'],620086,77
298,Adrianne Pieczonka,['classical soprano'],4008949,79
299,Adriano Banchieri,"['early music', 'madrigal', 'renaissance']",485,15
300,Adriano Celentano,"['classic italian pop', 'italian adult pop']",505021,62
301,Adrienne Albert,['american contemporary classical'],2,0
302,Adrián Patiño,['latin classical'],14,3
303,Adventum,['xtra raw'],1740806,82
304,Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",267835,58
305,Adventure Time,['indie pop'],215758,67
306,Ae Jirakorn,['thai pop'],98355,36
307,Aeden,"['dutch edm', 'gaming edm', 'pop edm']",1285,55
308,Aegis,"['classic opm', 'opm']",471122,56
309,Aer,"['album rock', 'classic rock', 'hard rock', 'rock']",7098770,81
310,Aero Chord,"['bass trap', 'edm', 'gaming edm', 'traprun']",201562,59
311,Aerodroemme,['deep techno'],2075,15
312,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",10049089,80
313,Aesop Rock,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop']",338509,62
314,Aether,"['chillstep', 'future bass', 'vapor twitch', 'wave']",18117,62
315,Afrika Bambaataa,"['bronx hip hop', 'east coast hip hop', 'electro', 'hip hop', 'hip house', 'old school hip hop']",95810,47
316,Afro-Cuban All Stars,"['latin jazz', 'musica tradicional cubana']",37579,45
317,Afrojack,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",22404249,90
318,Afroman,"['comedy rap', 'gangster rap', 'hip hop', 'rap']",300389,65
319,Afrosound,"['chicha', 'cumbia', 'nu-cumbia']",19556,41
320,Afsal,"['deep indian pop', 'filmi', 'mollywood']",301,50
321,After 7,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",385163,51
322,After The Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'minneapolis metal', 'progressive metalcore']",215574,55
323,After The Fire,['new wave'],499206,70
324,Afu-Ra,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']",65109,48
325,Against Me!,"['folk punk', 'gainesville indie', 'orgcore', 'punk', 'skate punk']",3672420,81
326,Against The Current,"['neon pop punk', 'pixie', 'pop punk', 'viral pop']",990505,81
327,Against The Grain,['action rock'],2694652,84
328,Agent Orange,"['hardcore punk', 'punk', 'skate punk', 'surf punk']",280850,51
329,Agent Side Grinder,"['dark post-punk', 'ebm', 'grave wave', 'minimal wave', 'swedish synth']",10778,31
330,Agent Steel,"['melodic thrash', 'metal', 'neo-trad metal', 'nwothm', 'old school thrash', 'speed metal', 'thrash metal', 'us power metal']",24510,32
331,Agnelli & Nelson,"['bubble trance', 'hard house']",6930,41
332,Agnes Baltsa,"['classical mezzo-soprano', 'classical performance', 'opera']",176242,59
333,Agnes Giebel,['classical soprano'],3140359,81
334,Agnes Moorehead,['drama'],1267,44
335,Agnes Obel,['chamber pop'],641672,65
336,Agnetha Fältskog,"['classic swedish pop', 'europop', 'new wave pop']",47033,46
337,Agnostic Front,"['chicano punk', 'crossover thrash', 'hardcore', 'hardcore punk', 'nyhc', 'oi', 'old school thrash', 'punk', 'straight edge']",126471,47
338,Ago,"['electronica', 'microhouse', 'minimal techno', 'new french touch', 'organic house', 'tech house']",1563758,79
